,subject,date,NM,eid,fiber,region,nph_file,nph_bnc,comment,photometry_path_a,photometry_path_b,digital_inputs_path,alyx_exists,taskData_exists,taskData_alfpath,n_timestamps_nph,n_timestamps_bpod,drift_ppm,timestamps_diff
0,ZFM-03059,2021-08-27,5HT,ba01bf35-8a0d-4ca3-a66e-b3a540b21128,probe01,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-08-27/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/PhotometryData_M1_M4_TCW_S1_27Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/DI0_M1_M4_TCW_S1_27Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,179,178,-11.29578259,-1
1,ZFM-03061,2021-08-27,5HT,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe04,Region4G,,1,new,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-27/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/PhotometryData_M1_M4_TCW_S1_27Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/DI1_M1_M4_TCW_S1_27Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,91,91,-14.99816392,0
2,ZFM-03061,2021-08-27,5HT,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe05,Region6G,,1,new,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-27/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/PhotometryData_M1_M4_TCW_S1_27Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/DI1_M1_M4_TCW_S1_27Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,91,91,-14.99816392,0
3,ZFM-03062,2021-08-27,5HT,d2453284-c893-4a54-a5e7-f015854c727f,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-27/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/PhotometryData_M3_M2_TCW_S1_27Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/DI1_M3_M2_TCW_S1_27Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,266,265,-11.49703759,-1
4,ZFM-03065,2021-08-27,5HT,fe2a712b-014b-47e7-b2ac-f85d0571cf44,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-27/004/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/PhotometryData_M3_M2_TCW_S1_27Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S1_27Aug2021/DI0_M3_M2_TCW_S1_27Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,178,173,49.72305352,-5
5,ZFM-03059,2021-08-30,5HT,00575787-7b8a-431a-a70e-1df857871a64,probe01,Region1G,,0,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/DI0_M1_M4_TCW_S2_30Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,279,278,-4.871060065,-1
6,ZFM-03061,2021-08-30,5HT,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe04,Region4G,,1,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/DI1_M1_M4_TCW_S2_30Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,141,141,-21.07566365,0
7,ZFM-03061,2021-08-30,5HT,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe05,Region6G,,1,new,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/DI1_M1_M4_TCW_S2_30Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,141,141,-21.07566365,0
8,ZFM-03062,2021-08-30,5HT,c2b953bd-e24e-410a-be4e-b3dd6ef373b8,probe02,Region4G,,1,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-30/002/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/PhotometryData_M3_M2_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/DI1_M3_M2_TCW_S2_30Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,354,353,-21.80038429,-1
9,ZFM-03065,2021-08-30,5HT,f2a6559d-1e45-4e83-8f65-1295ef50ed4b,probe03,Region1G,,0,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-30/001/raw_photometry_data/raw_photometry.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/PhotometryData_M3_M2_TCW_S2_30Aug2021.csv,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/TCW_S2_30Aug2021/DI0_M3_M2_TCW_S2_30Aug2021.csv,TRUE,TRUE,raw_behavior_data/_iblrig_taskData.raw.jsonable,270,269,-4.780158852,-1
