eid,subject,session_type,video_qc_score,qc_videoLeft_focus,qc_videoLeft_position,qc_videoLeft_brightness,qc_videoLeft_resolution,qc_videoLeft_wheel_alignment,qc_videoLeft_timestamps,qc_videoLeft_dropped_frames,qc_videoLeft_pin_state,session_length,video_length,length_discrepancy,framerate_from_tpts,LP,LP QC,Alyx LP QC plots,Failed to plot,Behav sync,Motion Energy,LP tongue tracking,Lick detection,LP Paws,LP Notes
18381ae9-05fe-4eb8-8c27-fd1d8d1cb0bf,ZFM-03059,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2795.902202,2803.109767,7.207564667,0.0333,Complete,PASS,18381ae9-05fe-4eb8-8c27-fd1d8d1cb0bf,,,,,,,"good, around 100trials"
e1726190-2e94-44ca-afd5-5a355782528b,ZFM-03059,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3121.1602,3124.445966,3.285765667,0.0333,Complete,PASS,e1726190-2e94-44ca-afd5-5a355782528b,,,,,,,"good, very dense raster after feedback"
10e13954-53dd-4a07-86bd-9bff46459efc,ZFM-03059,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,2865.993501,2919.012299,53.018798,0.0333,Complete,PASS,10e13954-53dd-4a07-86bd-9bff46459efc,,,,,,,good; dense lick raster
5f1a8363-2da0-4f0d-80b3-d1fbd24a3f04,ZFM-03447,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3632.402301,3649.112266,16.70996467,0.0333,Complete,PASS,5f1a8363-2da0-4f0d-80b3-d1fbd24a3f04,,,,,,,"good, 90 trials"
c7ce2f64-2e74-4b39-9c32-bb72cba922c1,ZFM-03447,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3151.071603,3204.851733,53.78013033,0.0333,Complete,PASS,c7ce2f64-2e74-4b39-9c32-bb72cba922c1,,,,,,,good
141cd1ec-1ed3-4407-886f-0d6240c80988,ZFM-03447,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4931.771102,4942.888232,11.11713033,0.0333,Complete,WARNING,141cd1ec-1ed3-4407-886f-0d6240c80988,,,,,,,"good lick, weird motion energy etc"
f2898cc0-6bfd-4af9-bdc8-58af869dd0be,ZFM-03447,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4131.450701,4184.987599,53.536898,0.0333,Complete,PASS,f2898cc0-6bfd-4af9-bdc8-58af869dd0be,,,,,,,"good, 160 trials"
ba8fc80a-e374-4900-ba8a-ad3b244c5bea,ZFM-03447,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4556.173801,4556.598932,0.4251313333,0.0333,Complete,PASS,ba8fc80a-e374-4900-ba8a-ad3b244c5bea,,,,,,,ok
4f7ee34f-71d7-4054-88e6-ff1179762461,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5148.5091,5189.474265,40.96516467,0.0333,Complete,CRITICAL,4f7ee34f-71d7-4054-88e6-ff1179762461,,timestamps,,,,,timestamps
e826e0aa-9a2c-4052-a4a7-dd189086ad5e,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5507.6796,5566.876432,59.19683233,0.0333,Complete,PASS,e826e0aa-9a2c-4052-a4a7-dd189086ad5e,,,,,,,ok; 120 trials
272372d1-526f-4291-b18c-49d0d4140dbb,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,6016.773702,6041.6588,24.885098,0.0333,Complete,PASS,272372d1-526f-4291-b18c-49d0d4140dbb,,,,,,,good
4f585aa9-ada0-4e2e-90d4-2542e5dbf782,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3568.243902,3583.013432,14.76953033,0.0333,Complete,PASS,4f585aa9-ada0-4e2e-90d4-2542e5dbf782,,,,,,,good; anticip licks
41cc34ab-deda-480b-b957-380abb2117c0,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3202.031701,3244.792632,42.76093133,0.0333,Complete,WARNING,41cc34ab-deda-480b-b957-380abb2117c0,,probably timestamps,,,,,"very few licks, timestamp issue?"
2252b3ed-f900-4509-bf77-37d47b56da7a,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4314.137402,4330.036832,15.89943033,0.0333,Complete,PASS,2252b3ed-f900-4509-bf77-37d47b56da7a,,,,,,,good
f24c2389-1716-4827-a14c-3a11dee6a754,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3604.908602,3661.1868,56.278198,0.0333,Complete,WARNING,f24c2389-1716-4827-a14c-3a11dee6a754,,probably timestamps,,,,,timestamps?
aa211f0c-94df-4f8a-9775-b8fcec3f5138,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5644.745502,5637.966399,-6.779103,0.0333,Complete,FAIL,aa211f0c-94df-4f8a-9775-b8fcec3f5138,wheel,timestamps,,,,,error while plotting wheel; timestamps
04482c20-f984-4d90-97d6-6791bae1e6f7,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4035.312201,4035.400532,0.08833133333,0.0333,Complete,PASS,04482c20-f984-4d90-97d6-6791bae1e6f7,,,,,,,(paws on spout)
4649407f-6f77-4edc-977b-a3a017f08f22,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5858.531001,5883.1114,24.580399,0.0333,Complete,WARNING,4649407f-6f77-4edc-977b-a3a017f08f22,,probably timestamps,,,,,timestamps?
699dc94d-e141-42d7-afa5-ab9a1fa000f8,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3986.041602,4020.515966,34.47436367,0.0333,Complete,CRITICAL,699dc94d-e141-42d7-afa5-ab9a1fa000f8,,probably timestamps,,,,,timestamps?
1c9d6859-0acd-4e41-9def-a9a08384c18f,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,3776.4201,3674.444298,-101.975802,0.0333,Complete,FAIL,1c9d6859-0acd-4e41-9def-a9a08384c18f,motion_speed_pupil,,,,,,"no motion, speed, pupil plots"
80bcab5a-20fd-4cc5-8a0e-e1e0149da372,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4688.520401,4694.276531,5.756130333,0.0333,Complete,PASS,80bcab5a-20fd-4cc5-8a0e-e1e0149da372,,,,,,,good; little delay?
28b2a170-5e33-49c9-9df5-3098c92a7905,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,4751.244202,4787.7862,36.541998,0.0333,Complete,PASS,28b2a170-5e33-49c9-9df5-3098c92a7905,,,,,,,good; weird empty lick raster exactly around 0.2s
2d2e9a22-683a-409c-91e8-79196e10be93,ZFM-04019,biased,1,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5410.960501,5422.899499,11.938998,0.0333,Complete,FAIL,2d2e9a22-683a-409c-91e8-79196e10be93,motion_speed_pupil,probably timestamps,,,,,"no motion, speed, pupil plots; licks bad, timestamps?"
