Unnamed: 0,subject,date,region,eid,fiber,added,BNC ,path
35,ZFM-03062,2021-08-27,Region4G,d2453284-c893-4a54-a5e7-f015854c727f,probe02,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-27/001/raw_photometry_data/raw_photometry.csv
134,ZFM-03065,2021-08-27,Region1G,fe2a712b-014b-47e7-b2ac-f85d0571cf44,probe03,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-27/004/raw_photometry_data/raw_photometry.csv
150,ZFM-03059,2021-08-27,Region1G,ba01bf35-8a0d-4ca3-a66e-b3a540b21128,probe01,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03059/2021-08-27/001/raw_photometry_data/raw_photometry.csv
,ZFM-03061,2021-08-27,Region4G,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe04,new,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-27/001/raw_photometry_data/raw_photometry.csv
,ZFM-03061,2021-08-27,Region6G,35b97c43-7d06-444d-90ec-aa1651c70e8c,probe05,new,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-08-27/001/raw_photometry_data/raw_photometry.csv
98,ZFM-03062,2021-08-30,Region4G,c2b953bd-e24e-410a-be4e-b3dd6ef373b8,probe02,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-30/002/raw_photometry_data/raw_photometry.csv
617,ZFM-03065,2021-08-30,Region1G,f2a6559d-1e45-4e83-8f65-1295ef50ed4b,probe03,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-30/001/raw_photometry_data/raw_photometry.csv
,ZFM-03059,2021-08-30,Region1G,00575787-7b8a-431a-a70e-1df857871a64,probe01,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv
,ZFM-03061,2021-08-30,Region4G,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe04,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv
,ZFM-03061,2021-08-30,Region6G,23f10df6-fa11-44d1-8f71-07145f3c65a1,probe05,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-30/PhotometryData_M1_M4_TCW_S2_30Aug2021.csv
,ZFM-03059,2021-08-31,Region1G,12b299c1-69de-4c40-a8a3-c83d13d77a31,probe01,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv
,ZFM-03061,2021-08-31,Region4G,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe05,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv
,ZFM-03061,2021-08-31,Region6G,ecb124ad-ff23-497b-9143-8383f5dc55dd,probe04,new,,/mnt/h0/kb/data/external_drive/HCW_S2_23082021/Sorted_Files/2021-08-31/PhotometryData_M1_M4_TCW_S3_31Aug2021.csv 
69,ZFM-03062,2021-08-31,Region4G,b7b186ee-1b36-4b1a-ae15-70078c472f97,probe02,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03062/2021-08-31/002/raw_photometry_data/raw_photometry.csv
344,ZFM-03065,2021-08-31,Region1G,c5cdd496-7400-4c0f-b326-55016bce4fcf,probe03,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03065/2021-08-31/002/raw_photometry_data/raw_photometry.csv
442,ZFM-03061,2021-09-01,Region4G,5a7a0c65-f296-45e6-8a30-64c2e90f5047,probe04,,,/mnt/h0/kb/data/one/mainenlab/Subjects/ZFM-03061/2021-09-01/001/raw_photometry_data/raw_photometry.csv
